country_area,year,other,solar,wind,hydro
Africa (EI),1973,0.17,0,0,31.345707
Africa (EI),1974,0.175,0,0,35.667076
Africa (EI),1975,0.172,0,0,37.71797
Africa (EI),1976,0.185,0,0,41.797634
Africa (EI),1977,0.189,0,0,45.92877
Africa (EI),1978,0.195,0,0,46.30694
Africa (EI),1979,0.201,0,0,49.56523
Africa (EI),1980,0.207,0,0,48.311783
Africa (EI),1981,0.218,0,0,50.192905
Africa (EI),1982,0.236,0,0,50.206238
Africa (EI),1983,0.23,0,0,45.24716
Africa (EI),1984,0.234,0,0,44.489975
Africa (EI),1985,0.269,0,0,49.449684
Africa (EI),1986,0.659,0,0,51.145374
Africa (EI),1987,0.658,0,0,49.05646
Africa (EI),1988,0.626,0,0,53.593456
Africa (EI),1989,0.617,0,0,56.276215
Africa (EI),1990,0.80574995,0,0,57.254658
Africa (EI),1991,0.8217477,0,0,60.65149
Africa (EI),1992,0.85394657,0,0,57.86029
Africa (EI),1993,0.94937193,0,0.002,56.682507
Africa (EI),1994,0.84669536,0,0.0054,57.59605
Africa (EI),1995,1.028464,0,0.0063,59.75028
Africa (EI),1996,1.2678369,0,0.0071,62.29786
Africa (EI),1997,1.3963903,0,0.0072,63.831898
Africa (EI),1998,1.724236,0,0.0076,66.654884
Africa (EI),1999,1.7097833,0,0.0198,70.684265
Africa (EI),2000,2.2749128,0.012091,0.1755,75.30208
Africa (EI),2001,2.3482146,0.015053,0.41558,80.910614
Africa (EI),2002,2.3121176,0.016457712,0.443584,85.06818
Africa (EI),2003,2.6455586,0.019282296,0.535599,82.617035
Africa (EI),2004,3.0130265,0.02325488,0.7682815,87.22669
Africa (EI),2005,3.0694032,0.027105464,0.7803882,88.84313
Africa (EI),2006,3.8381698,0.03509121,0.852607,92.05469
Africa (EI),2007,3.1995003,0.044129808,1.0163264,95.20505
Africa (EI),2008,3.3222678,0.062506974,1.3119144,96.96208
Africa (EI),2009,3.6504948,0.08354463,1.5895555,99.56687
Africa (EI),2010,3.8558366,0.20111556,2.2847242,107.687065
Africa (EI),2011,3.9865716,0.58679986,2.3878222,110.73344
Africa (EI),2012,4.306773,0.94917136,2.5177002,110.881065
Africa (EI),2013,4.622147,0.73769605,3.595774,117.32104
Africa (EI),2014,5.632845,1.8555973,5.0624056,124.171074
Africa (EI),2015,7.2229776,3.5459864,8.912966,120.966484
Africa (EI),2016,7.3167644,5.258691,11.178679,119.33239
Africa (EI),2017,7.5359426,6.9112763,13.613888,125.53052
Africa (EI),2018,8.222502,8.334139,14.764321,134.4142
Africa (EI),2019,8.306,11.032807,19.283148,137.83789
Africa (EI),2020,7.996047,15.181535,19.111317,147.40895
Africa (EI),2021,8.062824,17.457838,22.960455,155.50735
Africa (EI),2022,8.470694,17.226694,24.724098,161.92616
Africa (EI),2023,9.731144,18.962694,28.409922,167.11745
Africa (EI),2024,10.793401,20.86424,29.071463,170.07578
Algeria,1965,0,0,0,0.4
Algeria,1966,0,0,0,0.355
Algeria,1967,0,0,0,0.41
Algeria,1968,0,0,0,0.563
Algeria,1969,0,0,0,0.361
Algeria,1970,0,0,0,0.58
Algeria,1971,0,0,0,0.33
Algeria,1972,0,0,0,0.495
Algeria,1973,0,0,0,0.752
Algeria,1974,0,0,0,0.497
Algeria,1975,0,0,0,0.328
Algeria,1976,0,0,0,0.389
Algeria,1977,0,0,0,0.269
Algeria,1978,0,0,0,0.25
Algeria,1979,0,0,0,0.291
Algeria,1980,0,0,0,0.257
Algeria,1981,0,0,0,0.366
Algeria,1982,0,0,0,0.479
Algeria,1983,0,0,0,0.235
Algeria,1984,0,0,0,0.452
Algeria,1985,0,0,0,0.646
Algeria,1986,0,0,0,0.25
Algeria,1987,0,0,0,0.499
Algeria,1988,0,0,0,0.183
Algeria,1989,0,0,0,0.226
Algeria,1990,0,0,0,0.135
Algeria,1991,0,0,0,0.293
Algeria,1992,0,0,0,0.199
Algeria,1993,0,0,0,0.353
Algeria,1994,0,0,0,0.166
Algeria,1995,0,0,0,0.193
Algeria,1996,0,0,0,0.135
Algeria,1997,0,0,0,0.075
Algeria,1998,0,0,0,0.215
Algeria,1999,0,0,0,0.203
Algeria,2000,0,0,0,0.054
Algeria,2001,0,0,0,0.069
Algeria,2002,0,0,0,0.057
Algeria,2003,0,0,0,0.265
Algeria,2004,0,0,0,0.251
Algeria,2005,0,0,0,0.5553
Algeria,2006,0,0,0,0.2176
Algeria,2007,0,0,0,0.226
Algeria,2008,0,0,0,0.283
Algeria,2009,0,0,0,0.342
Algeria,2010,0,0.0091,0,0.173
Algeria,2011,0,0.01811875,0,0.378
Algeria,2012,0,0.026723014,0,0.389
Algeria,2013,0,0.0286,0,0.099
Algeria,2014,0,0.06,0.001,0.193
Algeria,2015,0,0.058,0.019,0.145
Algeria,2016,0,0.245,0.019052055,0.072
Algeria,2017,0,0.504,0.019,0.056
Algeria,2018,0,0.603,0.01,0.117
Algeria,2019,0,0.615,0.01,0.152
Algeria,2020,0,0.685,0.0077,0.0496
Algeria,2021,0,0.664,0.0105,0.0093
Algeria,2022,0,0.649,0.016,0.016
Algeria,2023,0,0.684,0.016,0.029
Algeria,2024,0,0.685874,0.016043836,0.05118
Argentina,1965,0,0,0,1.2251163
Argentina,1966,0,0,0,1.2409302
Argentina,1967,0,0,0,1.2706977
Argentina,1968,0,0,0,1.4976745
Argentina,1969,0,0,0,1.3432558
Argentina,1970,0.05624185,0,0,1.5571272
Argentina,1971,0.05899074,0,0,1.5461483
Argentina,1972,0.07602739,0,0,1.5026463
Argentina,1973,0.05997025,0,0,2.9974296
Argentina,1974,0.06100323,0,0,4.994663
Argentina,1975,0.063990325,0,0,5.1947746
Argentina,1976,0.060962547,0,0,5.014902
Argentina,1977,0.064003065,0,0,5.7667804
Argentina,1978,0.06397281,0,0,7.7466183
Argentina,1979,0.09498376,0,0,10.656913
Argentina,1980,0.09901763,0,0,15.140881
Argentina,1981,0.08701801,0,0,14.684794
Argentina,1982,0.1149734,0,0,17.592196
Argentina,1983,0.15497561,0,0,18.41851
Argentina,1984,0.11498845,0,0,19.877867
Argentina,1985,0.12000641,0,0,20.653124
Argentina,1986,0.123990245,0,0,21.030247
Argentina,1987,0.1059863,0,0,21.912518
Argentina,1988,0.12296129,0,0,15.259144
Argentina,1989,0.10600155,0,0,13.187393
Argentina,1990,0.13302182,0,0,17.713175
Argentina,1991,0.1310081,0,0,15.869253
Argentina,1992,0.12998593,0,0,19.16509
Argentina,1993,0.09599508,0,0,23.768307
Argentina,1994,0.0990044,0,0,27.286676
Argentina,1995,0.119016126,0,0,26.503681
Argentina,1996,0.22302064,0,0.009618,22.471685
Argentina,1997,0.17875852,0,0.014592,27.924665
Argentina,1998,0.20689325,0.000017,0.032541,26.475504
Argentina,1999,0.26199996,0.000026,0.034781,21.396791
Argentina,2000,0.3860283,0.000036,0.034758,28.575241
Argentina,2001,0.36299825,0.000043,0.049361,36.580173
Argentina,2002,0.5299802,0.000047,0.073405,35.778835
Argentina,2003,0.88059855,0.000065,0.077954,33.800575
Argentina,2004,0.86751235,0.00007,0.072446,30.462402
Argentina,2005,0.9164998,0.000081,0.07171966,34.216137
Argentina,2006,1.046309,0.00009,0.06964,38.015213
Argentina,2007,1.0708514,0.0001089,0.061593,31.22015
Argentina,2008,1.2059801,0.0001437,0.04195108,31.199696
Argentina,2009,1.1889358,0.000076084,0.036831528,34.618187
Argentina,2010,1.3773632,0.00008589,0.025351606,33.35991
Argentina,2011,1.3895167,0.001614,0.02659055,31.18693
Argentina,2012,1.4531035,0.008172967,0.369862,29.1644
Argentina,2013,1.5269085,0.015074079,0.45335487,32.771378
Argentina,2014,1.482826,0.015944,0.619491,32.416695
Argentina,2015,1.4873712,0.014683,0.593335,32.33747
Argentina,2016,1.17702,0.014273,0.547359,29.752789
Argentina,2017,1.4616984,0.016417,0.611567,31.594284
Argentina,2018,1.4172236,0.10813,1.412743,32.278667
Argentina,2019,1.4756514,0.79969794,4.9959664,27.504503
Argentina,2020,2.1995268,1.344358,9.410639,23.6697
Argentina,2021,2.2536683,2.202619,12.93755,19.648005
Argentina,2022,2.3980842,2.940079,14.164993,22.76959
Argentina,2023,2.4036036,3.279348,14.478626,31.493406
Argentina,2024,2.63437,3.9653625,16.167492,29.668793
Asia,1965,0.1,0,0,142.90587
Asia,1966,0.122,0,0,149.04556
Asia,1967,0.173,0,0,139.2507
Asia,1968,0.179,0,0,154.78128
Asia,1969,0.178,0,0,160.68423
Asia,1970,0.40870398,0,0,164.48134
Asia,1971,0.39761102,0,0,179.92075
Asia,1972,0.42359102,0,0,186.07146
Asia,1973,0.450998,0,0,172.98293
Asia,1974,0.514547,0,0,197.01353
Asia,1975,0.598507,0,0,212.23686
Asia,1976,0.528553,0,0,218.30035
Asia,1977,0.752774,0,0,214.44467
Asia,1978,0.967644,0,0,225.85852
Asia,1979,1.881672,0,0,244.19711
Asia,1980,3.27229,0,0,261.64688
Asia,1981,5.1587167,0,0,279.014
Asia,1982,13.786909,0,0,276.3654
Asia,1983,15.969758,0,0,289.0298
Asia,1984,17.504143,0,0,289.70355
Asia,1985,18.657616,0,0,343.2243
Asia,1986,19.51379,0,0,345.8456
Asia,1987,19.845085,0,0,358.31586
Asia,1988,21.403158,0,0,411.7108
Asia,1989,23.120253,0,0,421.20438
Asia,1990,18.888407,0.004,0.033323232,444.1334
Asia,1991,19.281645,0.004,0.12300091,449.0279
Asia,1992,19.539099,0.0155,0.22078313,452.2898
Asia,1993,19.352427,0.028500002,0.3098508,502.6904
Asia,1994,22.948118,0.036,0.578078,498.7056
Asia,1995,27.582012,0.049510103,1.1145912,538.362
Asia,1996,28.024805,0.0725606,0.9768788,534.7571
Asia,1997,31.625063,0.11636545,1.1958565,532.8737
Asia,1998,33.707966,0.16731885,1.4579805,564.6518
Asia,1999,36.991817,0.24566661,2.029756,550.013
Asia,2000,40.65219,0.38029945,2.382639,566.6277
Asia,2001,41.570663,0.55250144,3.2005215,611.5794
Asia,2002,42.961353,0.76870644,3.4702802,633.4446
Asia,2003,44.86808,1.0510256,4.594285,658.2237
Asia,2004,47.42509,1.388442,8.149257,775.40753
Asia,2005,53.135353,1.7651725,10.250758,803.4804
Asia,2006,57.16986,2.1887698,16.057991,884.37445
Asia,2007,63.603626,2.624455,21.330153,928.3072
Asia,2008,71.60105,3.1835155,32.621525,1053.3516
Asia,2009,79.450554,4.120747,50.676094,1023.2992
Asia,2010,88.70948,5.8577056,77.96545,1178.6075
Asia,2011,94.82006,10.410626,110.11338,1193.2864
Asia,2012,102.13247,15.641,144.08293,1350.7816
Asia,2013,112.97181,29.293423,184.99382,1458.9414
Asia,2014,132.82545,59.402878,211.08124,1592.8436
Asia,2015,147.11299,92.07264,240.88101,1658.5212
Asia,2016,154.4743,138.89127,312.25186,1723.443
Asia,2017,176.13773,218.41371,391.3327,1767.018
Asia,2018,216.48152,311.08823,466.6367,1808.4171
Asia,2019,242.07697,393.50015,514.8816,1934.6686
Asia,2020,273.03635,473.256,578.7688,1984.177
Asia,2021,318.52823,588.7487,788.45605,1948.7839
Asia,2022,350.85083,742.9532,909.9868,2003.7579
Asia,2023,375.2589,951.1602,1053.6582,1894.2603
Asia,2024,395.6394,1254.5525,1174.267,2071.0679
Asia Pacific (EI),1965,1.644,0,0,156.08955
Asia Pacific (EI),1966,1.643,0,0,162.31183
Asia Pacific (EI),1967,1.424,0,0,152.86674
Asia Pacific (EI),1968,1.577,0,0,168.24911
Asia Pacific (EI),1969,1.608,0,0,174.1638
Asia Pacific (EI),1970,1.776704,0,0,180.71
Asia Pacific (EI),1971,1.754611,0,0,199.45708
Asia Pacific (EI),1972,1.785591,0,0,205.11601
Asia Pacific (EI),1973,1.834998,0,0,194.01163
Asia Pacific (EI),1974,2.8156047,0,0,217.9046
Asia Pacific (EI),1975,2.9736698,0,0,232.44424
Asia Pacific (EI),1976,2.9064,0,0,233.25337
Asia Pacific (EI),1977,2.941779,0,0,227.03831
Asia Pacific (EI),1978,3.2368069,0,0,237.0464
Asia Pacific (EI),1979,4.032256,0,0,256.98187
Asia Pacific (EI),1980,5.492769,0,0,273.4472
Asia Pacific (EI),1981,7.3913007,0,0,289.72968
Asia Pacific (EI),1982,16.27123,0,0,282.66718
Asia Pacific (EI),1983,18.387142,0,0,299.34137
Asia Pacific (EI),1984,20.061474,0,0,299.4067
Asia Pacific (EI),1985,21.117823,0,0,320.0436
Asia Pacific (EI),1986,22.013226,0,0,328.1671
Asia Pacific (EI),1987,22.335085,0,0,326.8953
Asia Pacific (EI),1988,24.15304,0,0,361.78326
Asia Pacific (EI),1989,26.445786,0,0,388.04254
Asia Pacific (EI),1990,22.520748,0.004,0.032323234,399.28433
Asia Pacific (EI),1991,23.003275,0.00945,0.12200091,410.53708
Asia Pacific (EI),1992,23.161722,0.0276,0.22047403,401.5394
Asia Pacific (EI),1993,23.106512,0.0431,0.31183666,440.30167
Asia Pacific (EI),1994,26.589262,0.0534,0.58358806,443.17203
Asia Pacific (EI),1995,31.123774,0.0706601,1.1216013,483.29416
Asia Pacific (EI),1996,31.663656,0.09816061,0.9912051,473.24393
Asia Pacific (EI),1997,35.291695,0.14701545,1.21395,475.94223
Asia Pacific (EI),1998,37.770878,0.20291886,1.4895501,506.51654
Asia Pacific (EI),1999,41.467632,0.2862666,2.0532491,500.08252
Asia Pacific (EI),2000,45.03808,0.42704943,2.563947,521.60126
Asia Pacific (EI),2001,45.61932,0.6066514,3.5174093,570.3791
Asia Pacific (EI),2002,47.355556,0.8270064,4.0670133,578.78424
Asia Pacific (EI),2003,49.66291,1.1142256,5.3408756,594.22736
Asia Pacific (EI),2004,53.459846,1.461392,9.186693,699.0907
Asia Pacific (EI),2005,60.680496,1.8492225,12.019194,727.92053
Asia Pacific (EI),2006,65.020065,2.2861698,18.569807,801.7032
Asia Pacific (EI),2007,71.872055,2.7415109,24.603132,852.1108
Asia Pacific (EI),2008,79.86945,3.322662,36.079933,997.7059
Asia Pacific (EI),2009,87.08184,4.3803086,54.848034,968.00934
Asia Pacific (EI),2010,96.67843,6.7387905,81.48429,1097.5852
Asia Pacific (EI),2011,103.18171,12.229151,113.551254,1117.724
Asia Pacific (EI),2012,110.811584,17.620531,147.72421,1261.9316
Asia Pacific (EI),2013,121.42429,32.450928,188.47281,1369.9811
Asia Pacific (EI),2014,140.97446,63.033253,214.27348,1523.4286
Asia Pacific (EI),2015,154.7685,96.215004,243.00316,1565.9032
Asia Pacific (EI),2016,160.22078,142.35004,311.2271,1628.4912
Asia Pacific (EI),2017,180.03268,220.50873,387.54724,1672.0555
Asia Pacific (EI),2018,218.47852,309.56635,463.0181,1725.8898
Asia Pacific (EI),2019,241.64255,391.15356,512.3253,1791.1537
Asia Pacific (EI),2020,270.53937,469.7681,574.99475,1865.8977
Asia Pacific (EI),2021,313.37137,584.9851,781.6103,1864.5795
Asia Pacific (EI),2022,343.5913,736.6219,901.40515,1911.5757
Asia Pacific (EI),2023,366.68423,932.9683,1045.5613,1794.1885
Asia Pacific (EI),2024,387.44168,1220.3041,1163.3835,1952.5988
Australia,1965,0.296,0,0,7.689756
Australia,1966,0.284,0,0,7.3450427
Australia,1967,0.29,0,0,7.6057873
Australia,1968,0.282,0,0,7.9505005
Australia,1969,0.281,0,0,8.684121
Australia,1970,0.261,0,0,10.170687
Australia,1971,0.263,0,0,11.507442
Australia,1972,0.28,0,0,11.553314
Australia,1973,0.338,0,0,12.285839
Australia,1974,0.429,0,0,13.87392
Australia,1975,0.489,0,0,14.887801
Australia,1976,0.484,0,0,14.153859
Australia,1977,0.429,0,0,13.54395
Australia,1978,0.405,0,0,14.675349
Australia,1979,0.418,0,0,14.246056
Australia,1980,0.385,0,0,13.466598
Australia,1981,0.404,0,0,13.8663435
Australia,1982,0.516,0,0,12.770334
Australia,1983,0.431,0,0,12.123648
Australia,1984,0.441,0,0,13.125949
Australia,1985,0.456,0,0,13.940511
Australia,1986,0.46,0,0,14.025799
Australia,1987,0.47,0,0,13.613796
Australia,1988,0.731,0,0,14.334444
Australia,1989,0.81,0,0,14.253669
Australia,1990,0.7595,0,0,14.7595
Australia,1991,0.7195,0.00545,0,15.6535
Australia,1992,0.67,0.0121,0,15.9415
Australia,1993,0.67,0.0146,0.002,16.387
Australia,1994,0.6965,0.0174,0.0055,16.15
Australia,1995,0.8255,0.02115,0.007,15.631
Australia,1996,0.9465,0.0256,0.007,15.9685
Australia,1997,0.997,0.03065,0.0075,15.9525
Australia,1998,1.081,0.0356,0.018,15.798
Australia,1999,1.1335,0.0406,0.043,16.2815
Australia,2000,0.8895,0.04675,0.134,16.4665
Australia,2001,0.7975,0.05415,0.287,16.1235
Australia,2002,1.2668,0.0583,0.53355,16.095
Australia,2003,1.6918,0.0632,0.70405,16.21055
Australia,2004,2.81525,0.07295,0.795,15.68665
Australia,2005,3.871,0.08405,1.29905,15.4657
Australia,2006,3.9325,0.0975,2.1621,14.9451
Australia,2007,4.275,0.11375,2.8521,13.04895
Australia,2008,3.6961,0.1392,3.45845,11.81515
Australia,2009,2.7868,0.29024202,4.43775,12.64205
Australia,2010,2.44155,0.97764826,4.985,13.746
Australia,2011,2.57395,2.0445466,6.432,19.572
Australia,2012,3.09785,2.412,7.725,17.036
Australia,2013,3.33165,3.8474,9.259,19.089
Australia,2014,3.546362,4.952,9.777,14.484
Australia,2015,3.678062,6.195524,11.833002,14.086569
Australia,2016,3.627513,7.4397755,13.039705,17.629421
Australia,2017,3.561684,8.917557,13.210791,13.499718
Australia,2018,3.588149,12.332082,16.261955,17.311361
Australia,2019,3.4677262,18.296576,19.471687,14.020806
Australia,2020,3.4104242,23.844542,22.606892,14.420956
Australia,2021,3.344045,31.193808,26.795876,15.942685
Australia,2022,3.186586,37.544098,30.0503,16.660759
Australia,2023,3.125683,44.994347,31.867912,15.079177
Australia,2024,2.986051,50.21239,32.738106,12.849578
Austria,1965,0,0,0,16.083
Austria,1966,0,0,0,17.331
Austria,1967,0,0,0,17.698
Austria,1968,0,0,0,18.185
Austria,1969,0,0,0,16.718
Austria,1970,0,0,0,21.2897
Austria,1971,0,0,0,16.8201
Austria,1972,0,0,0,17.2876
Austria,1973,0,0,0,19.2092
Austria,1974,0,0,0,22.7122
Austria,1975,0,0,0,23.7952
Austria,1976,0,0,0,20.5656
Austria,1977,0,0,0,24.9208
Austria,1978,0,0,0,24.9408
Austria,1979,0,0,0,28.0968
Austria,1980,0,0,0,29.1099
Austria,1981,0,0,0,30.8473
Austria,1982,0,0,0,30.8963
Austria,1983,0,0,0,30.6063
Austria,1984,0,0,0,26.849564
Austria,1985,0.943327,0,0,30.775146
Austria,1986,1.287501,0,0,30.903927
Austria,1987,0.905816,0,0,35.387993
Austria,1988,1.04696,0,0,35.30409
Austria,1989,1.10445,0,0,35.08243
Austria,1990,1.142485,0,0,31.509
Austria,1991,1.225832,0,0,31.4434
Austria,1992,1.329164,0,0,34.8484
Austria,1993,1.361111,0.001,0,36.705555
Austria,1994,1.210555,0.001,0,35.7075
Austria,1995,1.857221,0.001,0.001,37.067223
Austria,1996,1.589444,0.001,0.005,34.21611
Austria,1997,1.711389,0.002,0.02,36.105278
Austria,1998,1.842777,0.002,0.045,37.163334
Austria,1999,1.5969118,0.002,0.051,40.69912
Austria,2000,1.5282793,0.003,0.067,41.83565
Austria,2001,1.667812,0.005,0.172,40.455482
Austria,2002,1.520444,0.009,0.203,40.227
Austria,2003,1.711921,0.015,0.366,33.214993
Austria,2004,2.05973,0.018,0.924,36.762283
Austria,2005,2.4401429,0.021018375,1.3312768,37.09514
Austria,2006,3.2547655,0.022386875,1.752793,35.656086
Austria,2007,4.0791254,0.024238374,2.037185,37.05445
Austria,2008,4.177986,0.03011991,2.0112574,38.32949
Austria,2009,4.2947526,0.04891428,1.9540402,40.896305
Austria,2010,4.500126,0.08881314,2.0639138,38.36342
Austria,2011,4.572212,0.17406996,1.9362364,34.23717
Austria,2012,4.691266,0.33748305,2.462029,43.8477
Austria,2013,4.7102733,0.625974,3.1532316,42.01672
Austria,2014,4.5615125,0.785246,3.845768,41.007236
Austria,2015,4.66263,0.937098,4.840343,37.156864
Austria,2016,4.7955213,1.096016,5.2348385,39.971336
Austria,2017,4.933439,1.268971,6.5715113,38.29375
Austria,2018,4.9433427,1.455132,6.0304294,37.63791
Austria,2019,4.6682663,1.702093,7.4500766,40.82597
Austria,2020,4.6011376,2.042934,6.7915306,41.99803
Austria,2021,4.479689,2.773905,6.740042,38.88971
Austria,2022,4.756716,3.782507,7.24165,34.62511
Austria,2023,4.558207,6.394811,8.036705,40.672634
Austria,2024,4.646196,9.4231615,9.209467,44.79416
Azerbaijan,1985,0,0,0,1.3125618
Azerbaijan,1986,0,0,0,0.8043308
Azerbaijan,1987,0,0,0,0.8043308
Azerbaijan,1988,0,0,0,0.6982652
Azerbaijan,1989,0,0,0,0.6982652
Azerbaijan,1990,0,0,0,1.658
Azerbaijan,1991,0,0,0,1.7593
Azerbaijan,1992,0,0,0,1.7473
Azerbaijan,1993,0,0,0,2.426
Azerbaijan,1994,0,0,0,1.83
Azerbaijan,1995,0,0,0,1.556
Azerbaijan,1996,0,0,0,1.537
Azerbaijan,1997,0,0,0,1.712
Azerbaijan,1998,0,0,0,1.951
Azerbaijan,1999,0,0,0,1.506
Azerbaijan,2000,0,0,0,1.534
Azerbaijan,2001,0,0,0,1.301
Azerbaijan,2002,0,0,0,2.02
Azerbaijan,2003,0,0,0,2.47
Azerbaijan,2004,0,0,0,2.755
Azerbaijan,2005,0,0,0,3.0094
Azerbaijan,2006,0,0,0,2.518
Azerbaijan,2007,0,0,0,2.364
Azerbaijan,2008,0,0,0,2.232
Azerbaijan,2009,0,0,0.0021,2.3084
Azerbaijan,2010,0,0,0.0005,3.4463
Azerbaijan,2011,0,0,0,2.6758
Azerbaijan,2012,0,0,0,1.821
Azerbaijan,2013,0.067,0.0008,0.0008,1.4891
Azerbaijan,2014,0.087,0.0029,0.0023,1.2997
Azerbaijan,2015,0.0909,0.0046,0.0046,1.6375
Azerbaijan,2016,0.08725,0.0353,0.0228,1.9593
Azerbaijan,2017,0.08515,0.0372,0.0221,1.7464
Azerbaijan,2018,0.0811,0.03926,0.0827,1.768
Azerbaijan,2019,0.09795,0.0442,0.1054,1.5648
Azerbaijan,2020,0.1003,0.047,0.0961,1.0695
Azerbaijan,2021,0.0966,0.0552,0.0914,1.2773
Azerbaijan,2022,0.10265,0.0609,0.0833,1.5957
Azerbaijan,2023,0.1115,0.0807,0.0554,1.7634
Azerbaijan,2024,0.11625,0.5497,0.0509,2.91346
Bangladesh,1965,0,0,0,0
Bangladesh,1966,0,0,0,0
Bangladesh,1967,0,0,0,0
Bangladesh,1968,0,0,0,0
Bangladesh,1969,0,0,0,0
Bangladesh,1970,0,0,0,0
Bangladesh,1971,0,0,0,0.175
Bangladesh,1972,0,0,0,0.175
Bangladesh,1973,0,0,0,0.331
Bangladesh,1974,0,0,0,0.243
Bangladesh,1975,0,0,0,0.436
Bangladesh,1976,0,0,0,0.494
Bangladesh,1977,0,0,0,0.437
Bangladesh,1978,0,0,0,0.506
Bangladesh,1979,0,0,0,0.587
Bangladesh,1980,0,0,0,0.583
Bangladesh,1981,0,0,0,0.625
Bangladesh,1982,0,0,0,0.523
Bangladesh,1983,0,0,0,0.662
Bangladesh,1984,0,0,0,0.897
Bangladesh,1985,0,0,0,0.739
Bangladesh,1986,0,0,0,0.45
Bangladesh,1987,0,0,0,0.517
Bangladesh,1988,0,0,0,0.675
Bangladesh,1989,0,0,0,0.92
Bangladesh,1990,0,0,0,0.884
Bangladesh,1991,0,0,0,0.838
Bangladesh,1992,0,0,0,0.796
Bangladesh,1993,0,0,0,0.608
Bangladesh,1994,0,0,0,0.847
Bangladesh,1995,0,0,0,0.372
Bangladesh,1996,0,0,0,0.739
Bangladesh,1997,0,0,0,0.719
Bangladesh,1998,0,0,0,0.865
Bangladesh,1999,0,0,0,0.833
Bangladesh,2000,0.04195,0.00001,0,0.749
Bangladesh,2001,0.0332,0.000014,0,0.993
Bangladesh,2002,0.0694,0.000066,0,0.749
Bangladesh,2003,0.06025,0.00085,0,0.749
Bangladesh,2004,0.04048,0.001914,0,0.749
Bangladesh,2005,0.03595,0.003402,0,0.749
Bangladesh,2006,0.045,0.005433,0.0016,0.749
Bangladesh,2007,0.05563,0.009047,0.0016,0.749
Bangladesh,2008,0.05533,0.015214,0.0029,0.95
Bangladesh,2009,0.02716,0.025104,0.0051,0.417
Bangladesh,2010,0.02122,0.044304,0.0051,0.729
