country_area,year,renewable_share
Algeria,1966,3.312554
Algeria,1967,4.04235
Algeria,1968,5.170891
Algeria,1969,2.995647
Algeria,1970,4.3953433
Algeria,1971,2.3105145
Algeria,1972,3.0857866
Algeria,1973,3.9326987
Algeria,1974,2.3470907
Algeria,1975,1.2958319
Algeria,1976,1.3172302
Algeria,1977,0.828733
Algeria,1978,0.61283517
Algeria,1979,0.54437596
Algeria,1980,0.4031064
Algeria,1981,0.47260314
Algeria,1982,0.5364575
Algeria,1983,0.24094447
Algeria,1984,0.4826921
Algeria,1985,0.6844301
Algeria,1986,0.2502992
Algeria,1987,0.48622057
Algeria,1988,0.16645434
Algeria,1989,0.21135321
Algeria,1990,0.11906669
Algeria,1991,0.26082626
Algeria,1992,0.17263989
Algeria,1993,0.32912087
Algeria,1994,0.15274073
Algeria,1995,0.1712212
Algeria,1996,0.12100656
Algeria,1997,0.06994659
Algeria,1998,0.19370805
Algeria,1999,0.18108313
Algeria,2000,0.05001067
Algeria,2001,0.061327934
Algeria,2002,0.048507243
Algeria,2003,0.2143434
Algeria,2004,0.19449507
Algeria,2005,0.40765893
Algeria,2006,0.15344006
Algeria,2007,0.1504157
Algeria,2008,0.17631334
Algeria,2009,0.20000759
Algeria,2010,0.10803143
Algeria,2011,0.22096606
Algeria,2012,0.21108034
Algeria,2013,0.060776502
Algeria,2014,0.110372595
Algeria,2015,0.09101885
Algeria,2016,0.13686113
Algeria,2017,0.23208226
Algeria,2018,0.27123353
Algeria,2019,0.27703846
Algeria,2020,0.2825046
Algeria,2021,0.23804712
Algeria,2022,0.22791375
Algeria,2023,0.22667149
Algeria,2024,0.24168092
Argentina,1965,1.0365571
Argentina,1966,1.0169654
Argentina,1967,1.0119467
Argentina,1968,1.1537669
Argentina,1969,1.0012252
Argentina,1970,1.2743663
Argentina,1971,1.1961744
Argentina,1972,1.1634786
Argentina,1973,2.150352
Argentina,1974,3.419432
Argentina,1975,3.6439414
Argentina,1976,3.3488772
Argentina,1977,3.6833985
Argentina,1978,4.903417
Argentina,1979,6.312004
Argentina,1980,9.006264
Argentina,1981,9.003798
Argentina,1982,10.539137
Argentina,1983,10.597402
Argentina,1984,11.37571
Argentina,1985,11.97929
Argentina,1986,11.6309395
Argentina,1987,11.583315
Argentina,1988,7.94562
Argentina,1989,7.115889
Argentina,1990,9.72907
Argentina,1991,8.570026
Argentina,1992,9.639757
Argentina,1993,11.552494
Argentina,1994,12.563101
Argentina,1995,11.829992
Argentina,1996,9.646128
Argentina,1997,11.7813425
Argentina,1998,10.780106
Argentina,1999,8.606011
Argentina,2000,11.556684
Argentina,2001,15.036309
Argentina,2002,15.334841
Argentina,2003,13.613283
Argentina,2004,11.464811
Argentina,2005,12.031582
Argentina,2006,12.677819
Argentina,2007,10.023992
Argentina,2008,9.871803
Argentina,2009,11.193401
Argentina,2010,11.091996
Argentina,2011,10.412118
Argentina,2012,9.701297
Argentina,2013,10.134094
Argentina,2014,10.396154
Argentina,2015,10.275299
Argentina,2016,9.586403
Argentina,2017,10.4453335
Argentina,2018,10.823792
Argentina,2019,11.416995
Argentina,2020,11.833357
Argentina,2021,10.9474535
Argentina,2022,12.009511
Argentina,2023,14.100092
Argentina,2024,14.8029785
Asia,1965,7.432044
Asia,1966,7.0720425
Asia,1967,6.3527813
Asia,1968,6.569131
Asia,1969,5.9424615
Asia,1970,5.338737
Asia,1971,5.3574486
Asia,1972,5.1683064
Asia,1973,4.453309
Asia,1974,4.986885
Asia,1975,5.1229615
Asia,1976,4.9715347
Asia,1977,4.6057205
Asia,1978,4.5662656
Asia,1979,4.722843
Asia,1980,5.088805
Asia,1981,5.3860116
Asia,1982,5.3858433
Asia,1983,5.3535123
Asia,1984,5.058345
Asia,1985,5.068473
Asia,1986,4.9153004
Asia,1987,4.789855
Asia,1988,5.1354856
Asia,1989,5.0364676
Asia,1990,5.0518737
Asia,1991,4.9086103
Asia,1992,4.7349057
Asia,1993,5.0243816
Asia,1994,4.7801275
Asia,1995,4.989715
Asia,1996,4.75086
Asia,1997,4.6363955
Asia,1998,4.9079843
Asia,1999,4.6748323
Asia,2000,4.6494074
Asia,2001,4.8165894
Asia,2002,4.7241597
Asia,2003,4.547672
Asia,2004,4.8382006
Asia,2005,4.662669
Asia,2006,4.8525996
Asia,2007,4.825958
Asia,2008,5.314891
Asia,2009,5.1766567
Asia,2010,5.6266966
Asia,2011,5.561722
Asia,2012,6.123732
Asia,2013,6.5937834
Asia,2014,7.1452227
Asia,2015,7.460905
Asia,2016,7.9438753
Asia,2017,8.361931
Asia,2018,8.861806
Asia,2019,9.469624
Asia,2020,10.196916
Asia,2021,10.664015
Asia,2022,11.3970175
Asia,2023,11.639132
Asia,2024,12.840818
Asia Pacific (EI),1965,8.397852
Asia Pacific (EI),1966,7.95934
Asia Pacific (EI),1967,7.2007213
Asia Pacific (EI),1968,7.385397
Asia Pacific (EI),1969,6.663484
Asia Pacific (EI),1970,6.040476
Asia Pacific (EI),1971,6.124594
Asia Pacific (EI),1972,5.8903556
Asia Pacific (EI),1973,5.1859164
Asia Pacific (EI),1974,5.755616
Asia Pacific (EI),1975,5.846043
Asia Pacific (EI),1976,5.5825176
Asia Pacific (EI),1977,5.1645403
Asia Pacific (EI),1978,5.0863347
Asia Pacific (EI),1979,5.3198147
Asia Pacific (EI),1980,5.6710453
Asia Pacific (EI),1981,6.0053434
Asia Pacific (EI),1982,5.9902735
Asia Pacific (EI),1983,6.070675
Asia Pacific (EI),1984,5.7794704
Asia Pacific (EI),1985,5.8585114
Asia Pacific (EI),1986,5.7805715
Asia Pacific (EI),1987,5.426447
Asia Pacific (EI),1988,5.599741
Asia Pacific (EI),1989,5.714998
Asia Pacific (EI),1990,5.5978065
Asia Pacific (EI),1991,5.485459
Asia Pacific (EI),1992,5.140153
Asia Pacific (EI),1993,5.321518
Asia Pacific (EI),1994,5.1249
Asia Pacific (EI),1995,5.3663697
Asia Pacific (EI),1996,5.02817
Asia Pacific (EI),1997,4.9460554
Asia Pacific (EI),1998,5.2754397
Asia Pacific (EI),1999,5.0724454
Asia Pacific (EI),2000,5.110704
Asia Pacific (EI),2001,5.3577056
Asia Pacific (EI),2002,5.1713486
Asia Pacific (EI),2003,4.9028373
Asia Pacific (EI),2004,5.2052226
Asia Pacific (EI),2005,5.04304
Asia Pacific (EI),2006,5.251553
Asia Pacific (EI),2007,5.2841787
Asia Pacific (EI),2008,6.002861
Asia Pacific (EI),2009,5.843994
Asia Pacific (EI),2010,6.2801642
Asia Pacific (EI),2011,6.255693
Asia Pacific (EI),2012,6.889021
Asia Pacific (EI),2013,7.4414215
Asia Pacific (EI),2014,8.202232
Asia Pacific (EI),2015,8.490678
Asia Pacific (EI),2016,9.073095
Asia Pacific (EI),2017,9.544332
Asia Pacific (EI),2018,10.123153
Asia Pacific (EI),2019,10.596511
Asia Pacific (EI),2020,11.515578
Asia Pacific (EI),2021,12.157434
Asia Pacific (EI),2022,13.0057535
Asia Pacific (EI),2023,13.212713
Asia Pacific (EI),2024,14.513296
Australia,1965,5.251514
Australia,1966,4.7868743
Australia,1967,4.6709657
Australia,1968,4.5908995
Australia,1969,4.799949
Australia,1970,5.1151695
Australia,1971,5.494465
Australia,1972,5.2832108
Australia,1973,5.2738605
Australia,1974,5.621664
Australia,1975,5.946086
Australia,1976,5.46922
Australia,1977,4.9728255
Australia,1978,5.1981664
Australia,1979,4.8739867
Australia,1980,4.5865984
Australia,1981,4.651113
Australia,1982,4.375391
Australia,1983,4.1726146
Australia,1984,4.3544593
Australia,1985,4.492084
Australia,1986,4.4399962
Australia,1987,4.2012877
Australia,1988,4.301873
Australia,1989,4.101315
Australia,1990,4.137041
Australia,1991,4.3940225
Australia,1992,4.3885193
Australia,1993,4.406949
Australia,1994,4.1957083
Australia,1995,4.001723
Australia,1996,3.9997537
Australia,1997,3.9143484
Australia,1998,3.8129077
Australia,1999,3.7857795
Australia,2000,3.7645082
Australia,2001,3.655366
Australia,2002,3.7108545
Australia,2003,3.7965071
Australia,2004,3.8290668
Australia,2005,4.095098
Australia,2006,4.023526
Australia,2007,3.7864707
Australia,2008,3.499129
Australia,2009,3.7221737
Australia,2010,4.0876446
Australia,2011,5.3919606
Australia,2012,5.399917
Australia,2013,6.1726875
Australia,2014,5.6627235
Australia,2015,5.9553065
Australia,2016,6.7850986
Australia,2017,6.3734684
Australia,2018,7.847639
Australia,2019,8.40721
Australia,2020,10.29223
Australia,2021,12.282586
Australia,2022,13.247022
Australia,2023,14.323447
Australia,2024,14.733206
Austria,1965,23.93953
Austria,1966,24.660316
Austria,1967,24.930605
Austria,1968,23.942204
Austria,1969,21.211708
Austria,1970,23.62367
Austria,1971,18.683784
Austria,1972,18.560486
Austria,1973,19.189177
Austria,1974,22.621471
Austria,1975,23.879324
Austria,1976,19.890339
Austria,1977,24.10896
Austria,1978,23.114895
Austria,1979,24.606277
Austria,1980,25.616678
Austria,1981,28.003008
Austria,1982,29.015383
Austria,1983,28.818497
Austria,1984,25.484493
Austria,1985,28.506361
Austria,1986,28.914047
Austria,1987,30.868633
Austria,1988,31.399988
Austria,1989,31.084078
Austria,1990,27.76444
Austria,1991,26.52839
Austria,1992,29.827892
Austria,1993,30.718403
Austria,1994,30.027718
Austria,1995,30.140165
Austria,1996,27.074467
Austria,1997,28.264048
Austria,1998,28.531652
Austria,1999,30.66756
Austria,2000,31.26769
Austria,2001,29.411423
Austria,2002,28.923092
Austria,2003,24.120514
Austria,2004,26.119173
Austria,2005,26.316614
Austria,2006,26.989784
Austria,2007,29.094082
Austria,2008,29.577007
Austria,2009,32.5476
Austria,2010,30.113115
Austria,2011,29.15819
Austria,2012,34.49825
Austria,2013,34.02354
Austria,2014,35.016697
Austria,2015,33.051586
Austria,2016,34.026432
Austria,2017,33.21268
Austria,2018,33.13921
Austria,2019,34.18949
Austria,2020,36.879936
Austria,2021,34.638123
Austria,2022,35.134083
Austria,2023,40.022125
Austria,2024,43.347355
Azerbaijan,1985,1.5533733
Azerbaijan,1986,0.8841861
Azerbaijan,1987,0.91239166
Azerbaijan,1988,0.7914281
Azerbaijan,1989,0.7760777
Azerbaijan,1990,1.7696381
Azerbaijan,1991,1.9544965
Azerbaijan,1992,2.2671876
Azerbaijan,1993,3.6319344
Azerbaijan,1994,2.9807847
Azerbaijan,1995,2.6951706
Azerbaijan,1996,3.2475834
Azerbaijan,1997,3.778814
Azerbaijan,1998,4.2910814
Azerbaijan,1999,3.3179066
Azerbaijan,2000,3.2334957
Azerbaijan,2001,2.8298752
Azerbaijan,2002,4.4186716
Azerbaijan,2003,4.963229
Azerbaijan,2004,4.8662996
Azerbaijan,2005,4.8642797
Azerbaijan,2006,4.113798
Azerbaijan,2007,4.172744
Azerbaijan,2008,3.9057946
Azerbaijan,2009,4.6727557
Azerbaijan,2010,7.0208406
Azerbaijan,2011,4.771241
Azerbaijan,2012,3.13323
Azerbaijan,2013,2.6123571
Azerbaijan,2014,2.2877438
Azerbaijan,2015,2.5956335
Azerbaijan,2016,3.1447477
Azerbaijan,2017,2.8683722
Azerbaijan,2018,2.8174486
Azerbaijan,2019,2.4512126
Azerbaijan,2020,1.7904454
Azerbaijan,2021,1.9303348
Azerbaijan,2022,2.1882486
Azerbaijan,2023,2.2942455
Azerbaijan,2024,4.303142
Bangladesh,1971,3.6343348
Bangladesh,1972,3.2066982
Bangladesh,1973,4.7342954
Bangladesh,1974,3.2603962
Bangladesh,1975,5.698549
Bangladesh,1976,5.532154
Bangladesh,1977,4.786648
Bangladesh,1978,5.218664
Bangladesh,1979,5.4919906
Bangladesh,1980,4.674274
Bangladesh,1981,4.7269816
Bangladesh,1982,3.582893
Bangladesh,1983,4.5890126
Bangladesh,1984,5.7568502
Bangladesh,1985,4.2640357
Bangladesh,1986,2.3829525
Bangladesh,1987,2.4806774
Bangladesh,1988,2.908988
Bangladesh,1989,3.679739
Bangladesh,1990,3.331917
Bangladesh,1991,3.2737448
Bangladesh,1992,2.850549
Bangladesh,1993,1.9793183
Bangladesh,1994,2.5986552
Bangladesh,1995,0.9653535
Bangladesh,1996,1.831692
Bangladesh,1997,1.6959825
Bangladesh,1998,1.916027
Bangladesh,1999,1.8243144
Bangladesh,2000,1.6248266
Bangladesh,2001,1.8306202
Bangladesh,2002,1.4535722
Bangladesh,2003,1.3526305
Bangladesh,2004,1.2325705
Bangladesh,2005,1.1229804
Bangladesh,2006,1.0508331
Bangladesh,2007,1.0368377
Bangladesh,2008,1.2242036
Bangladesh,2009,0.5131713
Bangladesh,2010,0.8342272
Bangladesh,2011,0.99530375
Bangladesh,2012,0.84601665
Bangladesh,2013,0.8128067
Bangladesh,2014,0.68606883
Bangladesh,2015,0.7931762
Bangladesh,2016,0.7402721
Bangladesh,2017,0.8568776
Bangladesh,2018,0.7081168
Bangladesh,2019,0.6395678
Bangladesh,2020,0.65289867
Bangladesh,2021,0.6705762
Bangladesh,2022,0.6926618
Bangladesh,2023,0.7899922
Bangladesh,2024,1.0953214
Belarus,1985,0.013615218
Belarus,1986,0.011926021
Belarus,1987,0.011754909
Belarus,1988,0.011588526
Belarus,1989,0.011982035
Belarus,1990,0.011922588
Belarus,1991,0.010754932
Belarus,1992,0.011661243
Belarus,1993,0.015620828
Belarus,1994,0.0187022
Belarus,1995,0.02215995
Belarus,1996,0.017284459
Belarus,1997,0.022427503
Belarus,1998,0.03057955
Belarus,1999,0.02133183
Belarus,2000,0.029412428
Belarus,2001,0.033429142
Belarus,2002,0.030978968
Belarus,2003,0.02997258
Belarus,2004,0.03233662
Belarus,2005,0.035009693
Belarus,2006,0.033930745
Belarus,2007,0.047331303
Belarus,2008,0.097415656
Belarus,2009,0.19278473
Belarus,2010,0.25240967
Belarus,2011,0.24433987
Belarus,2012,0.25738886
Belarus,2013,0.30522504
Belarus,2014,0.29525957
Belarus,2015,0.3455565
Belarus,2016,0.4050693
Belarus,2017,0.72615576
Belarus,2018,0.59601754
Belarus,2019,0.7227649
Belarus,2020,0.94336146
Belarus,2021,1.1064148
Belarus,2022,1.1474723
Belarus,2023,1.0273277
Belarus,2024,0.96882594
Belgium,1965,0.1829909
Belgium,1966,0.20878457
Belgium,1967,0.15830955
Belgium,1968,0.14564289
Belgium,1969,0.12509272
Belgium,1970,0.12665026
Belgium,1971,0.07032211
Belgium,1972,0.0888573
Belgium,1973,0.1468569
Belgium,1974,0.1823359
Belgium,1975,0.14832777
Belgium,1976,0.087603085
Belgium,1977,0.25354946
Belgium,1978,0.24950707
Belgium,1979,0.27674142
Belgium,1980,0.3024522
Belgium,1981,0.36612535
Belgium,1982,0.20797595
Belgium,1983,0.2014369
Belgium,1984,0.20201825
Belgium,1985,0.1775664
Belgium,1986,0.23684072
Belgium,1987,0.28677765
Belgium,1988,0.26924363
Belgium,1989,0.24720336
Belgium,1990,0.2649906
Belgium,1991,0.24876085
Belgium,1992,0.2827966
Belgium,1993,0.23757039
Belgium,1994,0.26485226
Belgium,1995,0.29377463
Belgium,1996,0.23443435
Belgium,1997,0.24066356
Belgium,1998,0.30483082
Belgium,1999,0.34840837
Belgium,2000,0.4183467
Belgium,2001,0.4340048
Belgium,2002,0.4648603
Belgium,2003,0.473226
Belgium,2004,0.58898455
Belgium,2005,0.84397316
Belgium,2006,1.1779006
Belgium,2007,1.3781304
Belgium,2008,1.7182359
Belgium,2009,2.494163
Belgium,2010,3.1254456
Belgium,2011,3.9831882
Belgium,2012,4.9963574
Belgium,2013,5.279734
Belgium,2014,5.937734
Belgium,2015,6.5506725
Belgium,2016,6.264496
Belgium,2017,6.8188543
Belgium,2018,7.2616305
Belgium,2019,7.769982
Belgium,2020,10.456639
Belgium,2021,9.202282
Belgium,2022,10.436024
Belgium,2023,12.149441
Belgium,2024,11.45436
Brazil,1965,26.31852
Brazil,1966,26.386042
Brazil,1967,26.64073
Brazil,1968,24.384598
Brazil,1969,23.900604
Brazil,1970,25.225378
Brazil,1971,25.184057
Brazil,1972,25.688374
Brazil,1973,24.613737
Brazil,1974,25.08163
Brazil,1975,26.182571
Brazil,1976,27.343033
Brazil,1977,29.194218
Brazil,1978,29.56036
Brazil,1979,31.370226
Brazil,1980,33.76569
Brazil,1981,35.262108
Brazil,1982,36.675797
Brazil,1983,39.906044
Brazil,1984,41.373993
Brazil,1985,41.84319
Brazil,1986,41.582497
Brazil,1987,41.232174
Brazil,1988,42.244137
Brazil,1989,42.685257
Brazil,1990,43.2668
Brazil,1991,43.701324
Brazil,1992,44.017376
Brazil,1993,44.21697
Brazil,1994,43.932064
Brazil,1995,43.3731
Brazil,1996,42.834415
Brazil,1997,42.147533
Brazil,1998,42.0326
Brazil,1999,41.78563
Brazil,2000,40.939064
Brazil,2001,37.18076
Brazil,2002,38.819298
Brazil,2003,40.449265
Brazil,2004,40.44407
Brazil,2005,41.269844
Brazil,2006,41.14651
Brazil,2007,42.28473
Brazil,2008,41.389286
Brazil,2009,44.156986
Brazil,2010,42.505264
Brazil,2011,42.377716
Brazil,2012,40.25937
Brazil,2013,38.40652
Brazil,2014,37.56644
Brazil,2015,38.708134
Brazil,2016,41.53582
Brazil,2017,41.293602
Brazil,2018,44.12647
Brazil,2019,45.177975
Brazil,2020,47.115757
Brazil,2021,43.67331
Brazil,2022,47.659924
Brazil,2023,48.949894
Brazil,2024,49.61598
Bulgaria,1965,4.6463866
Bulgaria,1966,4.354997
Bulgaria,1967,3.770125
Bulgaria,1968,2.1745162
Bulgaria,1969,2.7502878
Bulgaria,1970,2.8605528
Bulgaria,1971,2.7700152
Bulgaria,1972,2.5986295
Bulgaria,1973,3.0689979
Bulgaria,1974,2.4114025
Bulgaria,1975,2.5739927
Bulgaria,1976,2.9287097
Bulgaria,1977,3.3213696
Bulgaria,1978,2.6428828
Bulgaria,1979,2.898669
Bulgaria,1980,3.0791564
Bulgaria,1981,3.0469205
Bulgaria,1982,2.5070398
Bulgaria,1983,2.7386467
Bulgaria,1984,2.6783361
Bulgaria,1985,1.851061
Bulgaria,1986,1.8864747
Bulgaria,1987,2.042098
Bulgaria,1988,2.0431218
Bulgaria,1989,2.136107
Bulgaria,1990,1.4007479
Bulgaria,1991,2.4100642
Bulgaria,1992,2.1483028
Bulgaria,1993,1.891392
Bulgaria,1994,1.4263549
Bulgaria,1995,2.2264106
Bulgaria,1996,2.967801
Bulgaria,1997,2.9603994
Bulgaria,1998,3.4685338
Bulgaria,1999,3.5162685
Bulgaria,2000,3.386313
Bulgaria,2001,2.0436325
Bulgaria,2002,2.6811574
Bulgaria,2003,3.6460853
Bulgaria,2004,3.9311848
Bulgaria,2005,4.937457
Bulgaria,2006,4.7382336
Bulgaria,2007,3.3067698
Bulgaria,2008,3.39123
Bulgaria,2009,4.8456135
Bulgaria,2010,7.257586
Bulgaria,2011,4.618476
Bulgaria,2012,6.8606396
Bulgaria,2013,9.693577
Bulgaria,2014,9.633595
Bulgaria,2015,10.786984
Bulgaria,2016,9.370144
Bulgaria,2017,8.073083
Bulgaria,2018,12.096144
Bulgaria,2019,10.380223
Bulgaria,2020,11.1219
Bulgaria,2021,13.231414
Bulgaria,2022,12.026074
Bulgaria,2023,14.287648
Bulgaria,2024,16.42459
CIS (EI),1965,3.2773104
CIS (EI),1966,3.4751563
CIS (EI),1967,3.1889977
CIS (EI),1968,3.6118703
CIS (EI),1969,3.8223417
CIS (EI),1970,3.9316866
CIS (EI),1971,3.7993116
CIS (EI),1972,3.5231247
CIS (EI),1973,3.3360085
CIS (EI),1974,3.4117298
CIS (EI),1975,3.1019454
CIS (EI),1976,3.2168972
CIS (EI),1977,3.3350234
CIS (EI),1978,3.690722
CIS (EI),1979,3.6414955
CIS (EI),1980,3.8089268
CIS (EI),1981,3.78649
CIS (EI),1982,3.4552104
CIS (EI),1983,3.4942167
CIS (EI),1984,3.790494
CIS (EI),1985,4.5142736
CIS (EI),1986,4.439309
CIS (EI),1987,4.349288
CIS (EI),1988,4.4332685
CIS (EI),1989,4.302323
CIS (EI),1990,4.618243
CIS (EI),1991,4.711839
CIS (EI),1992,5.0422387
CIS (EI),1993,5.616564
CIS (EI),1994,6.2616076
CIS (EI),1995,6.4786725
CIS (EI),1996,6.04037
CIS (EI),1997,6.3701663
CIS (EI),1998,6.40638
CIS (EI),1999,6.4920664
CIS (EI),2000,6.5725756
CIS (EI),2001,6.6886673
CIS (EI),2002,6.3469014
CIS (EI),2003,6.1407967
CIS (EI),2004,6.58099
CIS (EI),2005,6.452004
CIS (EI),2006,6.1411653
CIS (EI),2007,6.1843214
CIS (EI),2008,5.594048
CIS (EI),2009,6.119782
CIS (EI),2010,5.8005257
CIS (EI),2011,5.429358
CIS (EI),2012,5.3225293
CIS (EI),2013,5.7884808
CIS (EI),2014,5.5012345
CIS (EI),2015,5.480024
CIS (EI),2016,5.8256507
CIS (EI),2017,5.857326
CIS (EI),2018,5.7034936
CIS (EI),2019,5.8386755
CIS (EI),2020,6.4069247
CIS (EI),2021,6.277559
CIS (EI),2022,5.787459
CIS (EI),2023,5.8570175
CIS (EI),2024,6.1563888
Canada,1965,23.980585
Canada,1966,25.004318
Canada,1967,24.43773
Canada,1968,23.337675
Canada,1969,24.351625
Canada,1970,23.871243
Canada,1971,23.779446
Canada,1972,24.717358
Canada,1973,24.391838
Canada,1974,25.612501
Canada,1975,24.975187
Canada,1976,25.151241
Canada,1977,24.649181
Canada,1978,25.865778
Canada,1979,26.099833
Canada,1980,26.336714
Canada,1981,28.154993
Canada,1982,28.167702
Canada,1983,29.230911
Canada,1984,29.579811
Canada,1985,30.320194
Canada,1986,30.752047
Canada,1987,30.367788
Canada,1988,28.378622
Canada,1989,26.631113
Canada,1990,28.251604
Canada,1991,29.25226
Canada,1992,29.261963
Canada,1993,29.209166
Canada,1994,28.705437
Canada,1995,28.664146
Canada,1996,29.628513
Canada,1997,29.04424
Canada,1998,28.089998
Canada,1999,28.363531
Canada,2000,28.536217
Canada,2001,27.032011
Canada,2002,27.334934
Canada,2003,26.020357
Canada,2004,25.700287
Canada,2005,27.04255
Canada,2006,27.207588
Canada,2007,26.529997
Canada,2008,27.374023
Canada,2009,27.993202
Canada,2010,26.566547
Canada,2011,27.419373
Canada,2012,27.86286
Canada,2013,27.744926
Canada,2014,27.025665
Canada,2015,27.733406
Canada,2016,28.45969
Canada,2017,28.649637
Canada,2018,27.663893
Canada,2019,27.406925
Canada,2020,29.457256
Canada,2021,29.113104
Canada,2022,29.496677
Canada,2023,27.857828
Canada,2024,27.156591
Central America (EI),1965,8.632089
Central America (EI),1966,9.169167
Central America (EI),1967,9.883594
Central America (EI),1968,10.526202
Central America (EI),1969,11.105563
Central America (EI),1970,12.008279
Central America (EI),1971,12.081078
Central America (EI),1972,12.246453
Central America (EI),1973,11.768393
Central America (EI),1974,12.41905
Central America (EI),1975,11.331517
Central America (EI),1976,12.713892
Central America (EI),1977,11.948515
Central America (EI),1978,14.833288
Central America (EI),1979,16.605833
Central America (EI),1980,19.448948
Central America (EI),1981,21.686563
Central America (EI),1982,21.518671
Central America (EI),1983,22.795137
Central America (EI),1984,24.80185
Central America (EI),1985,25.853504
Central America (EI),1986,28.508263
Central America (EI),1987,27.848227
Central America (EI),1988,29.59342
Central America (EI),1989,30.646729
Central America (EI),1990,30.948334
Central America (EI),1991,28.807001
Central America (EI),1992,26.271551
Central America (EI),1993,26.61387
Central America (EI),1994,24.302576
Central America (EI),1995,22.374317
Central America (EI),1996,24.96223
Central America (EI),1997,23.210482
Central America (EI),1998,20.628695
Central America (EI),1999,24.133295
Central America (EI),2000,24.410912
Central America (EI),2001,21.769108
Central America (EI),2002,22.500504
Central America (EI),2003,22.4827
Central America (EI),2004,22.929722
Central America (EI),2005,24.206879
Central America (EI),2006,24.102074
Central America (EI),2007,23.481173
Central America (EI),2008,24.79353
Central America (EI),2009,24.645626
Central America (EI),2010,26.456287
Central America (EI),2011,25.773012
Central America (EI),2012,26.955608
Central America (EI),2013,26.686745
Central America (EI),2014,26.686481
Central America (EI),2015,26.20444
Central America (EI),2016,26.271667
Central America (EI),2017,27.962503
Central America (EI),2018,28.609749
Central America (EI),2019,24.957823
Central America (EI),2020,31.892794
Central America (EI),2021,31.028156
Central America (EI),2022,30.39083
Central America (EI),2023,26.668772
Central America (EI),2024,27.344881
Chile,1965,15.313281
Chile,1966,15.050102
Chile,1967,15.070875
Chile,1968,12.660158
Chile,1969,13.263416
Chile,1970,13.4468
Chile,1971,14.0940895
